wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_nbr,wk_in_yr_nbr,spend_direct_mail,spend_insert,spend_newspaper,spend_audio,spend_radio,spend_tv,spend_video,spend_social_media,spend_online,spend_SEM,sales,CPI,gas_dpg,store_count,markdown_1,markdown_2
2014-08-03,2014,3,7,1,27,678410.26,129759.66,507635.16,2700.69,254134.14,216725.59,45397.9,0,61364.75,355954.51,72051457.64,82.5,3.595,716.2857143,0,0.368029183
2014-08-10,2014,3,7,2,28,661097.71,70355.33,625719.37,5039.35,106602.98,108919.26,2903.36,0,132643.9,336306.72,78794770.54,82.5,3.582,716.4285714,0,0.360910738
2014-08-17,2014,3,7,3,29,1874338.43,107720.37,277532.61,2610.93,59011.42,74032.19,8110.48,0,76741.27,344787.96,70071185.56,82.5,3.549,717,0,0.344831646
2014-08-24,2014,3,7,4,30,306583.37,141708.61,186028.61,6032.91,178010.46,110995.66,6516.22,0,193043.55,365495.11,68642464.59,82.5,3.532,717,0,0.356973241
2014-08-31,2014,3,8,1,31,2366274.16,160691.3,706694.09,5187.32,144097.56,225140.84,19381.12,0,249612.89,401789.35,86190784.65,84.6,3.536,717,0,0.359990454
2014-09-07,2014,3,8,2,32,551660.91,54611.44,420740.17,3202,160774.8,112061.13,19037.84,0,156145.21,306469.2,56120616.39,84.6,3.534,717,0,0.344503544
2014-09-14,2014,3,8,3,33,1249748.19,37601.75,181439.02,1710.53,128558.88,169156.16,26129.36,650.53,368607.31,354210.28,125634433.3,84.6,3.485,717,0,0.357570827
2014-09-21,2014,3,8,4,34,1200840.95,72652.65,260108.46,1880.89,77428.05,193112.18,28991.38,1138.42,178897.74,199757.92,110756935.7,84.6,3.432,717,0,0.351437615
2014-09-28,2014,3,8,5,35,679543.45,62239.3,205079.73,2264.57,22725.67,156913.77,9348.85,1628.94,255042.36,214170,116192534.8,84.6,3.434,717,0,0.350167148
2014-10-05,2014,3,9,1,36,597511.18,91521.07,446360.8,3363.18,172517.15,202935.22,9444.96,1500.06,218050.84,281419.21,129263590.2,86.9,3.382,717.5714286,0,0.35636804
2014-10-12,2014,3,9,2,37,2061821.25,154363.7,730019.09,4069.05,133880.82,162216.38,4089.64,2142.88,135022.96,599789.41,142052815.7,86.9,3.292,718.4285714,0,0.356597721
2014-10-19,2014,3,9,3,38,916455.19,55862.95,525253.99,1101.1,290259.06,162098.79,2463.68,11200.01,117714.42,559240.25,71754043.8,86.9,3.205,719,0,0.351353264
2014-10-26,2014,3,9,4,39,484903.7,60076.42,540098.42,2025.63,69002.47,59832.14,3619.47,2800,152480.04,379409.92,123589119.6,86.9,3.139,719,0,0.361237385
2014-11-02,2014,4,10,1,40,1885080.56,196485.15,244989.63,3516.11,129415.89,230763.73,4180.29,5035.45,267335.48,830035.46,77587533.88,88.8,3.077,719,0.392710129,0.366848355
2014-11-09,2014,4,10,2,41,827785.48,94388.12,599363.88,3118.9,65230.29,357867.72,12972.69,8188.53,179366.52,498551.24,153818240,88.8,3.025,719,0.3668664,0.359698224
2014-11-16,2014,4,10,3,42,1952211.28,141990.26,734726.63,3981.27,259902.69,425195.29,11651.23,11890.97,271521.12,493407.84,188168749,88.8,2.978,719,0.420592286,0.363245445
2014-11-23,2014,4,10,4,43,2285885.34,590148.11,1207930.38,7509.02,179152.14,392581.65,9903.17,128992.07,397679.4,961115.1,152932619,88.8,2.907,719,0.421516514,0.370766195
2014-11-30,2014,4,11,1,44,768569.58,77002.53,437211.98,4127.29,119986.63,613788.36,24145.69,11609.86,260737.55,2450532.72,307377803.9,93.6,2.864,719,0.4239191,0.366414651
2014-12-07,2014,4,11,2,45,1386270.56,124205.44,2198467.4,4770.47,272215.52,769348.71,34013.91,15255.99,485320.56,1893220.64,164024323.5,93.6,2.767,719,0.423832129,0.365962013
2014-12-14,2014,4,11,3,46,937645.57,378254.74,1049608.33,5870.9,283360.76,643356.19,34543.86,14459.01,284212.27,667739.73,351597976.8,93.6,2.643,719,0.401923143,0.360931514
2014-12-21,2014,4,11,4,47,705524.33,309908.81,2053156.13,9208.74,162091.54,753124.44,19736.64,15230.44,446930.5,604377.16,323162004.4,93.6,2.496,719,0.407244071,0.360920641
2014-12-28,2014,4,11,5,48,685817.13,192306.4,335860.68,9257.39,194071.48,321707.92,7185.81,6909.42,235677.83,295149,106476773.7,93.6,2.392,719,0.409402886,0.363653613
2015-01-04,2014,4,12,1,49,41763.2,40592.32,566405.65,1038.24,58684.21,49883.1,4615.7,0,115032.31,366063.36,106622601,98.1,2.308,719,0.352556671,0.348198926
2015-01-11,2014,4,12,2,50,1232500.13,56105.1,424603.53,2718.75,133089.32,96811.87,4298.14,840,69430.23,328769.77,63460787.37,98.1,2.232,719,0.353138657,0.350100392
2015-01-18,2014,4,12,3,51,713458.55,57215.99,546957.34,1038.24,4149.71,0,0,2030,61591.26,376965.15,53503558.27,98.1,2.157,719,0.350434514,0.347564855
2015-01-25,2014,4,12,4,52,1241777.59,1138.73,768836.96,1038.24,74131.52,41206.7,1980,3480.01,86573.51,489904.63,98546829.45,98.1,2.133,719,0.369392586,0.351543544
2015-02-01,2015,1,1,1,1,595721.78,154408.32,583367.9,4368.02,202897.52,164465.47,4332.01,16772.42,101755.16,277779.27,66774705.14,95.4,2.154,705,0.356980114,0.355065164
2015-02-08,2015,1,1,2,2,525.77,213190.78,166776.31,2607.26,179236.58,253821.91,6837.11,16925.88,179574.67,469152.59,83666133.95,95.4,2.276,705,0.378131943,0.360781351
2015-02-15,2015,1,1,3,3,612662.32,83472.18,520257.29,3237.4,115800.41,242028.67,2391.71,16925.88,141892.66,462573.86,73090378.47,95.4,2.358,705,0.3388024,0.352287453
